id,value
id0,6.525689965905247
id1,18.171094227181385
id2,24.435178598572286
id3,7.681363192145948
id4,27.097107104453702
id5,22.11149941267717
id6,23.719305720548412
id7,30.7313923737701
id8,16.87593574059488
id9,59.542019609840445
id10,11.761382580945263
id11,9.343948056389461
id12,63.25283695386701
id13,53.243845446001146
id14,22.074667025029775
id15,12.205980433337636
id16,32.35208397616152
id17,66.67046816987752
id18,-0.5120093313797582
id19,17.12338027391463
id20,41.884368329210254
id21,72.31237469738794
id22,9.24487659370882
id23,17.94623190007429
id24,14.721194063959203
id25,38.1931238673608
id26,14.847968428435792
id27,62.85225164733654
id28,7.235713509475588
id29,55.539341401969374
id30,24.403786713977276
id31,8.660093999320374
id32,2.55715903596678
id33,18.678661068339224
id34,27.65996325231839
id35,37.24420368235964
id36,43.330335686001426
id37,29.67661520006611
id38,41.91724328559974
id39,35.41124746310802
id40,7.708540034329694
id41,41.18622859789184
id42,30.442378378741644
id43,51.0880083695611
id44,17.465406601660078
id45,35.43622336702247
id46,24.614369510344055
id47,9.69889638788889
id48,26.608570508893926
id49,32.27777873225767
id50,20.296410580772154
id51,7.899598529080176
id52,20.46405280761195
id53,52.597265623660746
id54,15.90877437749517
id55,36.23929930149504
id56,33.06807578257521
id57,20.729237105528902
id58,57.32297675849084
id59,22.76321490347487
id60,14.316403709338378
id61,41.82019978380251
id62,12.761354874431877
id63,48.51202145289095
id64,14.210324696298887
id65,14.995535496990051
id66,14.483846933912234
id67,-0.9897606083873782
id68,43.82587443183169
id69,29.07678037470454
id70,20.29682107173622
id71,41.69335499742013
id72,60.446863238351156
id73,5.583881246408904
id74,16.498534985290533
id75,3.366350513308273
id76,40.32371699115524
id77,14.23152411343763
id78,21.66379833487494
id79,21.043095439516524
id80,23.887752501083092
id81,36.10942442854861
id82,21.818012809876862
id83,92.48872057892395
id84,37.317962150363044
id85,27.91852012410764
id86,22.02273904515124
id87,33.51960837668254
id88,23.302332443318402
id89,19.757114663383305
id90,28.664580371001577
id91,41.45255326549733
id92,4.848986052275336
id93,38.52519252050628
id94,45.77411626270607
id95,16.500635640833515
id96,31.49939040062659
id97,13.005742763464323
id98,23.256751801646573
id99,4.5832035821376
id100,18.190303310001898
id101,26.42314966162903
id102,14.089560935194712
id103,15.908014491761442
id104,23.94598465481743
id105,39.77012557630809
id106,31.494418348196152
id107,6.162863577253148
id108,6.085260023044517
id109,78.5663346420118
id110,48.072805312307636
id111,17.14598279318448
id112,27.65488050683769
id113,15.167837221215
id114,13.739558497269865
id115,24.91829895366893
id116,26.622912160277448
id117,10.502269710205425
id118,18.455403424443833
id119,19.548927238616262
id120,80.51754802878666
id121,25.478375016009775
id122,37.23814764910979
id123,25.467016076422787
id124,7.423205442188168
id125,38.817942534589285
id126,9.259533489013318
id127,21.870480532311465
id128,29.159009673658893
id129,62.87634493450703
id130,21.914331830447125
id131,23.431533571966902
id132,58.98647564119128
id133,15.181967762390546
id134,14.151158168338858
id135,2.63326721578391
id136,12.565184938253854
id137,58.64791729164424
id138,20.448160669038028
id139,5.364715370429138
id140,29.03785271237325
id141,25.336215553997015
id142,45.274707315905445
id143,30.800444918803294
id144,18.317146703235842
id145,26.00605263137419
id146,11.98615336862698
id147,52.00876523529509
id148,23.420928197131808
id149,38.58457948671733
id150,10.12202594958378
id151,8.16751360799043
id152,23.307036004175565
id153,6.373949003578005
id154,14.985146391825486
id155,40.998783137413625
id156,7.792163419495701
id157,36.180363606939835
id158,11.168010456118644
id159,19.139409743947297
id160,41.57057092627222
id161,19.337776247581733
id162,13.272958643238464
id163,8.137147350655486
id164,52.6987439886972
id165,31.263425149626343
id166,-0.3741949223782228
id167,16.278146942869597
id168,63.595868146828785
id169,13.897750601975378
id170,63.543393148265984
id171,39.21306409865403
id172,26.991315819071687
id173,20.3346106564697
id174,61.22421691894672
id175,25.00801068451601
id176,21.01253353000176
id177,37.389711757057896
id178,12.420382938859934
id179,31.25520642227621
id180,16.807147476231744
id181,11.690405604854096
id182,55.73401250174209
id183,46.33727182182807
id184,15.718382012735532
id185,35.25679779291054
id186,26.176205312219125
id187,69.02820248862099
id188,9.970857828021549
id189,57.825536645386016
id190,38.18447338128074
id191,15.44644716382373
id192,28.99716819060221
id193,0.1435630128720078
id194,19.10912141386111
id195,0.9180659837070806
id196,33.73371105758964
id197,10.439784788647373
id198,18.88415639376514
id199,60.072572756318195
id200,25.13722417538945
id201,25.589526842848244
id202,64.58906069489313
id203,10.345528952524429
id204,9.197850045504296
id205,11.258371068277754
id206,7.339135012415419
id207,1.696101519194091
id208,124.05856135796228
id209,20.74129147802915
id210,16.37510020535095
id211,13.951191300888581
id212,36.24872650003358
id213,35.9508626073932
id214,18.941763070721557
id215,34.94556351749303
id216,78.53838643271968
id217,0.5232998735412693
id218,12.922200247581326
id219,31.748705960418892
id220,14.937341073298622
id221,12.839302170945224
id222,113.35469137238994
id223,12.993843314010025
id224,16.45822244746752
id225,64.25179675298061
id226,16.09809075164255
id227,19.635996669292727
id228,10.107056128804313
id229,3.7261314638736245
id230,46.36469410612868
id231,12.643240004044504
id232,53.7196164544802
id233,42.39150608506319
id234,25.54672405813724
id235,40.810211311681776
id236,69.06514024315385
id237,42.280182674455034
id238,11.184944599808038
id239,18.281204159417776
